MJD,offset,function,function_with_epoch,product,offset_plus_product
37300,1.4228180, + (MJD - 37300.) X 0.001296 S, + (37300 - 37300.) X 0.001296 S,0.000000,1.4228180
37512,1.3728180, + (MJD - 37300.) X 0.001296 S, + (37512 - 37300.) X 0.001296 S,0.274752,1.6475700
37665,1.8458580, + (MJD - 37665.) X 0.0011232S, + (37665 - 37665.) X 0.0011232S,0E-7,1.8458580
38334,1.9458580, + (MJD - 37665.) X 0.0011232S, + (38334 - 37665.) X 0.0011232S,0.7514208,2.6972788
38395,3.2401300, + (MJD - 38761.) X 0.001296 S, + (38395 - 38761.) X 0.001296 S,-0.474336,2.7657940
38486,3.3401300, + (MJD - 38761.) X 0.001296 S, + (38486 - 38761.) X 0.001296 S,-0.356400,2.9837300
38639,3.4401300, + (MJD - 38761.) X 0.001296 S, + (38639 - 38761.) X 0.001296 S,-0.158112,3.2820180
38761,3.5401300, + (MJD - 38761.) X 0.001296 S, + (38761 - 38761.) X 0.001296 S,0.000000,3.5401300
38820,3.6401300, + (MJD - 38761.) X 0.001296 S, + (38820 - 38761.) X 0.001296 S,0.076464,3.7165940
38942,3.7401300, + (MJD - 38761.) X 0.001296 S, + (38942 - 38761.) X 0.001296 S,0.234576,3.9747060
39004,3.8401300, + (MJD - 38761.) X 0.001296 S, + (39004 - 38761.) X 0.001296 S,0.314928,4.1550580
39126,4.3131700, + (MJD - 39126.) X 0.002592 S, + (39126 - 39126.) X 0.002592 S,0.000000,4.3131700
39887,4.2131700, + (MJD - 39126.) X 0.002592 S, + (39887 - 39126.) X 0.002592 S,1.972512,6.1856820
41317,10.0, + (MJD - 41317.) X 0.0      S, + (41317 - 41317.) X 0.0      S,0.0,10.0
41499,11.0, + (MJD - 41317.) X 0.0      S, + (41499 - 41317.) X 0.0      S,0.0,11.0
41683,12.0, + (MJD - 41317.) X 0.0      S, + (41683 - 41317.) X 0.0      S,0.0,12.0
42048,13.0, + (MJD - 41317.) X 0.0      S, + (42048 - 41317.) X 0.0      S,0.0,13.0
42413,14.0, + (MJD - 41317.) X 0.0      S, + (42413 - 41317.) X 0.0      S,0.0,14.0
42778,15.0, + (MJD - 41317.) X 0.0      S, + (42778 - 41317.) X 0.0      S,0.0,15.0
43144,16.0, + (MJD - 41317.) X 0.0      S, + (43144 - 41317.) X 0.0      S,0.0,16.0
43509,17.0, + (MJD - 41317.) X 0.0      S, + (43509 - 41317.) X 0.0      S,0.0,17.0
43874,18.0, + (MJD - 41317.) X 0.0      S, + (43874 - 41317.) X 0.0      S,0.0,18.0
44239,19.0, + (MJD - 41317.) X 0.0      S, + (44239 - 41317.) X 0.0      S,0.0,19.0
44786,20.0, + (MJD - 41317.) X 0.0      S, + (44786 - 41317.) X 0.0      S,0.0,20.0
45151,21.0, + (MJD - 41317.) X 0.0      S, + (45151 - 41317.) X 0.0      S,0.0,21.0
45516,22.0, + (MJD - 41317.) X 0.0      S, + (45516 - 41317.) X 0.0      S,0.0,22.0
46247,23.0, + (MJD - 41317.) X 0.0      S, + (46247 - 41317.) X 0.0      S,0.0,23.0
47161,24.0, + (MJD - 41317.) X 0.0      S, + (47161 - 41317.) X 0.0      S,0.0,24.0
47892,25.0, + (MJD - 41317.) X 0.0      S, + (47892 - 41317.) X 0.0      S,0.0,25.0
48257,26.0, + (MJD - 41317.) X 0.0      S, + (48257 - 41317.) X 0.0      S,0.0,26.0
48804,27.0, + (MJD - 41317.) X 0.0      S, + (48804 - 41317.) X 0.0      S,0.0,27.0
49169,28.0, + (MJD - 41317.) X 0.0      S, + (49169 - 41317.) X 0.0      S,0.0,28.0
49534,29.0, + (MJD - 41317.) X 0.0      S, + (49534 - 41317.) X 0.0      S,0.0,29.0
50083,30.0, + (MJD - 41317.) X 0.0      S, + (50083 - 41317.) X 0.0      S,0.0,30.0
50630,31.0, + (MJD - 41317.) X 0.0      S, + (50630 - 41317.) X 0.0      S,0.0,31.0
51179,32.0, + (MJD - 41317.) X 0.0      S, + (51179 - 41317.) X 0.0      S,0.0,32.0
53736,33.0, + (MJD - 41317.) X 0.0      S, + (53736 - 41317.) X 0.0      S,0.0,33.0
54832,34.0, + (MJD - 41317.) X 0.0      S, + (54832 - 41317.) X 0.0      S,0.0,34.0
56109,35.0, + (MJD - 41317.) X 0.0      S, + (56109 - 41317.) X 0.0      S,0.0,35.0
57204,36.0, + (MJD - 41317.) X 0.0      S, + (57204 - 41317.) X 0.0      S,0.0,36.0
57754,37.0, + (MJD - 41317.) X 0.0      S, + (57754 - 41317.) X 0.0      S,0.0,37.0
